key,annotation,en,ja,ru
SCRIPT_ID,,DO NOT REMOVE OR MODIFY THIS RECORD,5da049baf6318a34eb94108f80be19ee,5da049baf6318a34eb94108f80be19ee
1|2|3,"|#1|{ Random(0, 11) }|#2|[i]|#3|","Lorem ipsum dolor sit amet, | consectetur adipiscing elit. Fusce ut mauris sem. Fusce ipsum leo, luctus sit amet quam convallis, suscipit scelerisque dolor! Maecenas <tip=""VN"">visual novel</tip> pulvinar felis, sed aliquam est. Mauris tincidunt tincidunt sapien non dictum. In quis mauris nibh.| Quisque ipsum eros, lacinia at lobortis vitae, semper ut ante. Sed lobortis id sapien vitae auctor. Quisque consectetur aliquet vulputate. Mauris fringilla neque non bibendum aliquet.","取オキ氏給てのぱお名販り冬投夜ワ半, | 度えね連開えすむ脳防演ぜ投定携青稿ひーむか梯郵イどで者<tip=""VN"">ビジュアルノベル</tip>のろざり君二学ヱレ合中クミユオ属抽綱ざきに。米レツチネ必果で利83知ごず楽乗ヤケレ願全スごぴ裏3裸どひン決意表ユノ度将ウアカ子道ち告分びがスゃ内演ぼざゅわ。| 答サマ下清ぽーた張街どなに枚展フ子索トク騰文サヤマ背用使シルヌウ藤集ロチヤ失背へ座洗ヤルチ型枠イエス稿69那卓捨縦まんらと。","Суждение последовательно. Угловое расстояние, | на первый взгляд, <tip=""VN"">визуальаный роман</tip> транспонирует трагический здравый смысл, хотя это явно видно на фотогpафической пластинке, полученной с помощью 1.2-метpового телескопа.| Звезда на следующий год, когда было лунное затмение и сгорел древний храм Афины в Афинах, недоступно решает непреложный натуральный логарифм. Наряду с этим газопылевое облако многопланово гасит даосизм, изменяя привычную реальность."
4,,"Praesent nec euismod ante. Sed sit amet pellentesque mauris. Sed viverra est nibh, vitae rhoncus lacus venenatis at. Mauris eget posuere urna, a dignissim nisl.",児ワトリ本務3本ドぽ開敷さえトは委2左くんみッ同切キルエヤ行愛ぐぴあ肝持砥ヘ場外をご全輝案オセ口泉節急しふかと取自七俊亮凱ざちくゆ。,"Космогоническая гипотеза Шмидта позволяет достаточно просто объяснить эту нестыковку, однако ощущение мира колеблет интеллект. Даосизм философски творит популяционный индекс, но кольца видны только при 40–66."
5|18|6|7,"|#5||#18|[i]|#6|[spawn ShakePrinter params:,1 !wait]|#7|[< skip!]",Mauris sit|<br>| amet lorem| sit amet nulla malesuada pulvinar.,作4振きせ治無づけ|<br>| 次王サミ阪7企っげ真理ノユ恐3手| りあぐし計言りけゅく元職ねけり伝宿もゃ甲生わべ。,Антропосоциология творит параметр.|<br>| Суждение преобразует| экваториальный перигелий.
8,Test no-space source with spaced translation.,Quisque.,全員。,Почти каждый.
9,@print |#9|,Quisque.,全員。,Почти каждый.
a|b|c,k: |#a|[i]|#b||#c|,"Ut et quam a dui imperdiet eleifend vitae eget neque.| Vestibulum sollicitudin et tortor sed dignissim.|<br><br>Aliquam sit amet <tip=""Lorenz"">Lorenz</tip> sollicitudin, fringilla dui ac, imperdiet elit.","済供際ナ社県わさ真囲イ須生備ミ京5準| ネユホ刺三進ょ浜共エサヘ要万ヨムスサ分岡じ言重著菱ラロ農生|<br><br>よな触努ゆづげさ<tip=""Lorenz"">ローレンツ方程式</tip>び。","Адживика, как принято считать, порождена временем.| Ощущение мира точно притягивает сложный зенит, отрицая очевидное.|<br><br>После того как тема сформулирована, <tip=""Lorenz"">Закон Лоренца</tip> оценивает трагический реликтовый ледник."
d,"@print ""Donec ut libero rutrum, \""porta tortor\"" ut, volutpat nulla.|#d|"" speed:0.5 !default","Donec ut libero rutrum, ""porta tortor"" ut, volutpat nulla.",側チ輸富ハ鉄青フ堂購ソホ権文「ぞゅゆょ収港」すなおで問9断まりつ詐経ざ一,"Закон исключённого третьего ""перечеркивает"" центральный позитивизм."
e|f,"@print ""\|#e|{ Random(0, 10) } \}|#f|""",{ | },{ | },{ | }
10,"@toast ""|#10|"" time:1",Lorem ipsum,遺物氷河,Реликтовый ледник
11,"@choice ""|#11|"" pos:10,50",Test choice,速らな設,Тестовый выбор
12,y.Default: |#12|,"Donec ligula nulla, pulvinar a ex suscipit, gravida vulputate orci. Maecenas suscipit nisl vel nibh volutpat varius. Vestibulum turpis sapien, fermentum in tempor in, venenatis vel sapien.",話声コ真禁選またでば車地ょにべ学裏モヒヘ量併ろてう江供ユネスナ止人エケラナ下月京ど新84郷たリ秘最ヲラレ刊行ほひ風国つみしろ馬証ウテ皇馬るぶ。,"Страсть ищет гравитационный парадокс. Юлианская дата наблюдаема. Восход , по определению, представляет собой эллиптический предмет деятельности, изменяя привычную реальность."
13|14|15,|#13|{t_Foo}|#14|{t_Bar}|#15|,"Value of t_Foo: |, value of t_Bar: |.","t_Fooの値： |,巴t_Barの値： |。","Значение t_Foo: |, значение t_Bar: |."
16,,Untranslated generic line.,,
17,"@print ""|#17|""",Untranslated command line.,,
